0,gene1,gene2,feedback1,feedback2,kon1,kon2,koff1,koff2,ksyn1,ksyn2,w,bs1,bs2,bf1,bf2,cv1,cv2,convergence,corr,NMI,cmi_given_x1,cmi_given_x2,sign_givenx1,sign_givenx2
94,klf15,klf4,1,1,0.319869883,0.55650955,3.750704114,4.948637007,8.654006517,46.78661255,6.595623855,0.294734179,0.500252578,2.307301844,9.454444221,0.747790043,0.570582808,1,0.174235736,0.110936635,6.835880139,8.1098196,1,1
95,klf15,klf5,1,1,0.28577649,0.55860791,5.030324084,5.065834577,10.57311648,18.3072397,6.207045674,0.270414064,0.503128136,2.101875805,3.613864492,0.764854163,0.536752358,1,0.245211155,0.072586678,4.600242977,6.451288667,1,1
96,klf15,klf6,1,1,1.00E-04,1.928908342,7.014246541,17.41652696,11.83116314,54.8030604,9.395299084,1.00E-04,1.736579385,1.68673329,3.146612441,0.772651145,0.986523203,1,0.064549241,0.063005945,3.259977293,4.214929228,1,1
97,klf15,mycn,1,1,1.00E-04,0.216634198,4.61828821,4.75900267,9.368147725,19.88645304,7.222890497,1.00E-04,0.207202164,2.028489193,4.178701803,0.751710232,0.943722523,1,0.167759412,0.068623634,4.033048766,5.986197635,1,1
98,klf15,nfyc,1,1,0.0001,0.003948509,4.529006592,7.412760919,8.721000155,15.65285643,6.776005074,1.00E-04,0.003946407,1.92558787,2.111609507,0.747868207,0.426501016,1,0.276623772,0.069976252,5.9792966,4.522349714,1,1
99,klf15,nr2c2,1,1,1.267178302,0.123587884,3.424978148,0.33090959,9.090489987,1.326291464,5.038063112,0.924960206,0.089981613,2.654174594,4.008017605,0.751311995,0.98086296,1,0.078076756,0.034975882,0.721357716,0.80046876,1,1
100,klf15,nrf1,1,1,5.500133104,0.066917177,2.849941469,7.781286675,9.459444058,8.706116865,1.496370031,1.87723562,0.066346612,3.319171344,1.118853119,0.757195939,0.532570344,1,0.225059372,0.060585635,3.93837056,3.629387898,1,1
101,klf15,sin3a,1,1,1.487019138,3.654898897,57.35918321,81.29849067,8.316475921,43.97962068,19.6641627,1.449442781,3.497656367,0.144989441,0.540964787,0.742230653,0.685029123,1,0.185289638,0.044317511,2.496354429,1.555282524,1,1
102,klf15,sp1,1,1,2.296755263,0.639132544,3.773423346,5.409985251,9.8284791,1.85752534,2.948952281,1.427738867,0.571603621,2.604658476,0.343351276,0.759683465,0.851730223,1,0.126163906,0.033599484,1.5906161,0.905970598,1,1
103,klf15,sp3,1,1,0.257171331,0.817325388,4.525852227,3.969345857,9.822151954,2.16946448,5.32821273,0.243343865,0.677766861,2.17023258,0.546554661,0.760303865,0.604126137,1,0.108863092,0.033960258,2.280426716,0.752983634,1,1
